Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D 4-Head Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1399999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1399999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1399999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.086302521008403, 'Stressed Variance': 174.15540901772474, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1399999999999999,1.0,0.6375,1.0,0.575,0.875,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.84546218487395, 'Stressed Variance': 175.80964747546076, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.6625,0.9875,0.675,0.8625,0.45,0.9875,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.000210084033613, 'Stressed Variance': 178.99542012393192, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1499999999999999,1.0,0.625,0.975,0.625,0.85,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.041806722689076, 'Stressed Variance': 195.22215976096322, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,0.9875,0.6,1.0,0.6125,0.825,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.3786725971829754, 'rho': 355.1257249866812, 'd': 0.731698004291357, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.097899159663866, 'Stressed Variance': 196.0268863427724, 'Stressed Steady State Time': 13.666840610949746}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1599999999999999,1.0,0.6375,0.9875,0.575,0.8625,0.45,0.9875,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.256302521008404, 'Stressed Variance': 213.56716616058185, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.65,0.9875,0.65,0.7875,0.45,1.0,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.35576074641739863, 'rho': 377.61901117881126, 'd': 0.7318793437040086, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.225126050420169, 'Stressed Variance': 211.75814179083395, 'Stressed Steady State Time': 13.663454346710274}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1699999999999999,0.975,0.575,0.975,0.475,0.825,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.33546460586832333, 'rho': 400.11102000180637, 'd': 0.7320408209688563, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.028403361344537, 'Stressed Variance': 222.79843694654332, 'Stressed Steady State Time': 13.66044039288}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.1799999999999999,0.975,0.6875,0.975,0.6625,0.8875,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.33546460586832333, 'rho': 400.11102000180637, 'd': 0.7320408209688563, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.993025210084033, 'Stressed Variance': 211.99927908339805, 'Stressed Steady State Time': 13.66044039288}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1799999999999999,0.9875,0.525,0.95,0.475,0.775,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.33546460586832333, 'rho': 400.11102000180637, 'd': 0.7320408209688563, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.993025210084033, 'Stressed Variance': 211.99927908339805, 'Stressed Steady State Time': 13.66044039288}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.1799999999999999,0.9875,0.525,0.95,0.475,0.775,0.45,1.0,0.9875
